Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
SONGIEU;01409;8;;;;;
SONTHONNAX-LA-MONTAGNE;01410;42;14;;;7;
SOUCLIN;01411;35;12;;;6;
SULIGNAT;01412;72;22;;13;15;
SURJOUX;01413;5;;;;;
SUTRIEU;01414;22;6;;;;
TALISSIEU;01415;84;18;;12;9;5
TENAY;01416;213;30;;25;5;9
THEZILLIEU;01417;45;9;;;;
THIL;01418;133;40;;19;24;12
THOIRY;01419;365;83;;54;32;20
THOISSEY;01420;296;54;;;22;13
TORCIEU;01421;82;32;;27;18;8
TOSSIAT;01422;184;54;;42;28;21
TOUSSIEUX;01423;84;30;;19;19;6
TRAMOYES;01424;213;62;;27;47;17
LA TRANCLIERE;01425;33;10;;;;5
TREFFORT-CUISIAT;01426;316;101;;81;54;33
TREVOUX;01427;1182;322;7;239;132;74
VALEINS;01428;19;9;;;;
VANDEINS;01429;79;21;;16;;7
VARAMBON;01430;59;14;;8;;
VAUX-EN-BUGEY;01431;161;57;;40;27;18
VERJON;01432;29;11;;;;
VERNOUX;01433;37;16;;;6;8
VERSAILLEUX;01434;38;14;;6;;
VERSONNEX;01435;163;29;;23;8;10
VESANCY;01436;36;7;;;;
VESCOURS;01437;29;14;;;6;5
VESINES;01439;13;;;;;
VIEU-D'IZENAVE;01441;82;27;;21;14;9
VIEU;01442;35;12;;7;7;
VILLARS-LES-DOMBES;01443;628;168;9;114;97;45
VILLEBOIS;01444;175;42;;32;19;12
VILLEMOTIER;01445;98;35;;27;20;
VILLENEUVE;01446;192;59;;37;42;13
VILLEREVERSURE;01447;174;43;;;21;17
VILLES;01448;31;6;;;;
VILLETTE-SUR-AIN;01449;77;23;;11;17;5
VILLIEU-LOYES-MOLLON;01450;427;158;;97;100;47
VIRIAT;01451;842;215;10;180;72;83
VIRIEU-LE-GRAND;01452;198;37;;30;10;8
VIRIEU-LE-PETIT;01453;92;5;;;;
VIRIGNIN;01454;185;36;;31;14;8
VONGNES;01456;;;;;;
VONNAS;01457;457;109;;81;56;30
ABBECOURT;02001;79;19;;;8;6
ACHERY;02002;76;28;;;9;6
ACY;02003;124;43;;32;24;9
AGNICOURT-ET-SECHELLES;02004;28;;;;;
AGUILCOURT;02005;48;18;;13;11;6
AISONVILLE-ET-BERNOVILLE;02006;43;10;;;5;
AIZELLES;02007;12;;;;;
AIZY-JOUY;02008;46;23;;16;16;7
ALAINCOURT;02009;71;22;;;9;7
ALLEMANT;02010;31;13;;;;
AMBLENY;02011;120;46;;33;23;8
AMBRIEF;02012;10;5;;;;
AMIFONTAINE;02013;45;17;;;5;
AMIGNY-ROUY;02014;103;34;;29;16;11
ANCIENVILLE;02015;7;;;;;
ANDELAIN;02016;30;11;;;;
ANGUILCOURT-LE-SART;02017;44;12;;;;
ANIZY-LE-CHATEAU;02018;329;69;;55;28;15
ANNOIS;02019;53;15;;;5;
ANY-MARTIN-RIEUX;02020;65;14;;8;;
ARCHON;02021;9;;;;;
ARCY-SAINTE-RESTITUE;02022;54;17;;;6;
ARMENTIERES-SUR-OURCQ;02023;8;;;;;
ARRANCY;02024;5;;;;;
ARTEMPS;02025;54;13;;8;;
ARTONGES;02026;23;11;;;5;
ASSIS-SUR-SERRE;02027;27;;;;;
ATHIES-SOUS-LAON;02028;361;137;;94;79;25
ATTILLY;02029;50;14;;8;;
AUBENCHEUL-AUX-BOIS;02030;42;8;;;;
AUBENTON;02031;107;18;;;;
AUBIGNY-AUX-KAISNES;02032;38;10;;;;
AUBIGNY-EN-LAONNOIS;02033;12;;;;;
AUDIGNICOURT;02034;9;;;;;
AUDIGNY;02035;42;17;;;6;
AUGY;02036;14;6;;;;
AULNOIS-SOUS-LAON;02037;207;55;;47;26;16
LES AUTELS;02038;7;;;;;
AUTREMENCOURT;02039;18;5;;;;
AUTREPPES;02040;21;;;;;
AUTREVILLE;02041;105;26;;;13;8
AZY-SUR-MARNE;02042;34;13;;;7;
BAGNEUX;02043;10;;;;;
BANCIGNY;02044;;;;;;
BARENTON-BUGNY;02046;59;18;;13;8;7
BARENTON-CEL;02047;16;5;;;;
BARENTON-SUR-SERRE;02048;18;8;;;;
BARISIS;02049;86;36;;27;23;12
BARZY-EN-THIERACHE;02050;39;9;;;;
BARZY-SUR-MARNE;02051;44;8;;;;
BASSOLES-AULERS;02052;21;;;;;
BAULNE-EN-BRIE;02053;28;7;;;;
BAZOCHES-SUR-VESLES;02054;69;25;;17;14;8
BEAUME;02055;8;;;;;
BEAUMONT-EN-BEINE;02056;22;7;;;;
BEAUREVOIR;02057;266;41;;31;17;9
BEAURIEUX;02058;125;41;;;13;19
BEAUTOR;02059;538;105;6;91;22;18
BEAUVOIS-EN-VERMANDOIS;02060;27;6;;;;
BECQUIGNY;02061;47;9;;;;
BELLEAU;02062;14;5;;;;
BELLENGLISE;02063;56;19;;;8;
BELLEU;02064;515;111;;80;53;17
BELLICOURT;02065;90;29;;;7;7
BENAY;02066;21;5;;;;
BERGUES-SUR-SAMBRE;02067;25;10;;;5;
BERLANCOURT;02068;14;6;;;;
BERLISE;02069;15;;;;;
BERNOT;02070;63;23;;18;14;
BERNY-RIVIERE;02071;71;26;;21;12;7
BERRIEUX;02072;21;11;;;;
BERRY-AU-BAC;02073;73;24;;;8;6
BERTAUCOURT-EPOURDON;02074;87;31;;25;20;
BERTHENICOURT;02075;30;10;;;;
BERTRICOURT;02076;20;;;;;
BERZY-LE-SEC;02077;55;13;;;5;
BESME;02078;22;12;;;7;
BESMONT;02079;16;;;;;
BESNY-ET-LOIZY;02080;36;13;;;7;
BETHANCOURT-EN-VAUX;02081;92;22;;17;9;6
BEUGNEUX;02082;13;6;;;;
BEUVARDES;02083;89;21;;;5;5
BEZU-LE-GUERY;02084;34;13;;;;
BEZU-SAINT-GERMAIN;02085;147;50;;38;24;16
BICHANCOURT;02086;122;26;;19;17;7
BIEUXY;02087;;;;;;
BIEVRES;02088;9;;;;;
BILLY-SUR-AISNE;02089;131;33;;25;12;8
BILLY-SUR-OURCQ;02090;29;7;;;;
BLANZY-LES-FISMES;02091;9;;;;;
BLERANCOURT;02093;207;49;;36;17;13
BLESMES;02094;50;18;;10;11;
BOHAIN-EN-VERMANDOIS;02095;1327;223;;207;26;37
BOIS-LES-PARGNY;02096;21;13;;6;;
BONCOURT;02097;31;10;;;;
BONNEIL;02098;38;8;;;;
BONNESVALYN;02099;25;7;;;;
BONY;02100;23;7;;;;
BOSMONT-SUR-SERRE;02101;20;6;;;;
BOUCONVILLE-VAUCLAIR;02102;20;7;;;;
BOUE;02103;212;48;;38;17;6
BOUFFIGNEREUX;02104;12;5;;;;
BOURESCHES;02105;24;7;;;;
BOURG-ET-COMIN;02106;126;42;;35;13;11
BOURGUIGNON-SOUS-COUCY;02107;10;;;;;
BOURGUIGNON-SOUS-MONTBAVIN;02108;21;7;;;;
LA BOUTEILLE;02109;69;17;;;11;6
BRAINE;02110;387;102;5;79;39;24
BRANCOURT-EN-LAONNOIS;02111;102;25;;19;14;5
BRANCOURT-LE-GRAND;02112;89;23;;17;14;
BRASLES;02114;176;37;;27;22;7
BRAYE-EN-LAONNOIS;02115;24;6;;;;
BRAYE-EN-THIERACHE;02116;16;5;;;;
BRAY-SAINT-CHRISTOPHE;02117;9;;;;;
BRAYE;02118;13;;;;;
BRECY;02119;47;19;;12;12;
BRENELLE;02120;22;9;;;;
BRENY;02121;30;9;;;;
BRIE;02122;5;;;;;
BRISSAY-CHOIGNY;02123;40;14;;;8;5
BRISSY-HAMEGICOURT;02124;97;29;;23;15;5
BRUMETZ;02125;29;8;;;;
BRUNEHAMEL;02126;88;22;;;7;
BRUYERES-SUR-FERE;02127;24;11;;;;
BRUYERES-ET-MONTBERAULT;02128;208;54;;40;23;17
BRUYS;02129;;;;;;
BUCILLY;02130;23;6;;;;
BUCY-LE-LONG;02131;238;56;;41;27;18
BUCY-LES-CERNY;02132;30;13;;;6;
BUCY-LES-PIERREPONT;02133;57;21;;;;8
BUIRE;02134;132;31;;26;7;9
BUIRONFOSSE;02135;214;43;;38;17;10
BURELLES;02136;15;;;;;
BUSSIARES;02137;15;6;;;;
BUZANCY;02138;23;8;;;;
CAILLOUEL-CREPIGNY;02139;49;17;;12;9;
CAMELIN;02140;59;14;;;5;
LA CAPELLE;02141;360;57;;50;17;6
CASTRES;02142;30;8;;;;
LE CATELET;02143;37;10;;;;
CAULAINCOURT;02144;16;;;;;
CAUMONT;02145;61;15;;9;;
CELLES-LES-CONDE;02146;5;;;;;
LA CELLE-SOUS-MONTMIRAIL;02147;14;;;;;
CELLES-SUR-AISNE;02148;26;7;;;;
CERIZY;02149;9;;;;;
CERNY-EN-LAONNOIS;02150;8;;;;;
CERNY-LES-BUCY;02151;13;5;;;;
CERSEUIL;02152;9;;;;;
CESSIERES;02153;58;16;;11;8;
CHACRISE;02154;50;16;;;7;
CHAILLEVOIS;02155;28;;;;;
CHALANDRY;02156;31;7;;;;
CHAMBRY;02157;88;16;;;9;
CHAMOUILLE;02158;41;12;;;6;
CHAMPS;02159;27;7;;;;
CHAOURSE;02160;89;32;;25;15;9
LA CHAPELLE-MONTHODON;02161;10;;;;;
LA CHAPELLE-SUR-CHEZY;02162;38;18;;;5;6
CHARLY-SUR-MARNE;02163;430;104;9;84;28;26
LE CHARMEL;02164;35;12;;;7;
CHARMES;02165;248;68;5;48;35;16
CHARTEVES;02166;41;14;;;;
CHASSEMY;02167;100;38;;28;22;7
CHATEAU-THIERRY;02168;3252;581;12;498;174;104
CHATILLON-LES-SONS;02169;9;;;;;
