Codes_Insee;Communes;RATIO_2A_FREQ_CRECHE;ENF_MOINS_3;ENF_3_6;CRECHE_PL_DISPO;NB_CRECHE;NB_SAGE;NB_PHARMA;NB_MATERNELLE;NB_ECOLE_ELEM;POP;LATITUDE;LONGITUDE
1154;ETREZ;1;0;41;0;0;0;0;0;1;0,8;46.338283686023097;5.192873875680920
1155;EVOSGES;1;0;0;0;0;0;0;0;0;0,1;45.964817586669703;5.503035616942960
1156;FARAMANS;1;0;26;0;0;0;0;0;0;0,7;45.910613417340301;5.124845659860180
1157;FAREINS;1;0;88;0;0;0;1;1;1;2,1;46.021233390927101;4.762243383308850
1158;FARGES;1;0;11;0;0;0;0;0;1;0,8;46.166799116142201;5.900102585417320
1159;FEILLENS;1;0;120;0;0;0;1;0;2;3,1;46.336299036686498;4.885615157908010
1160;FERNEY-VOLTAIRE;0,16;8;150;50;1;3;4;3;5;8;46.251530589364201;6.107612982524310
1162;FLAXIEU;1;0;0;0;0;0;0;0;0;0,1;45.811199593458902;5.743325791642260
1163;FOISSIAT;1;0;68;0;0;0;0;0;1;1,9;46.378534446076301;5.184475583997540
1165;FRANCHELEINS;1;0;66;0;0;0;0;0;1;1,3;46.073641259318599;4.812568984174810
1166;FRANS;1;5;58;0;0;0;0;0;1;2;45.993681240633798;4.780646679600480
1167;GARNERANS;1;0;24;0;0;0;0;0;1;0,6;46.213510651387701;4.828761163961270
1169;GENOUILLEUX;1;0;30;0;0;0;0;0;0;0,6;46.120481330288598;4.793327758728530
1170;BEARD-GEOVREISSIAT;1;0;36;0;0;0;0;0;1;0,9;46.189911262214501;5.551733484518940
1171;GEOVREISSET;1;0;35;0;0;0;0;0;0;0,9;46.252023369719097;5.613984354898740
1172;GERMAGNAT;1;0;0;0;0;0;0;0;0;0,1;46.305615678147902;5.449689414263660
1173;GEX;0,24137931;14;270;58;2;0;3;3;4;9,9;46.347461988276599;6.046190697219080
1174;GIRON;1;0;5;0;0;0;0;0;0;0,2;46.223721991775797;5.780937785160220
1175;GORREVOD;1;0;33;0;0;0;0;0;1;0,8;46.415023422846900;4.950803570139250
1176;LE GRAND-ABERGEMENT;1;0;0;0;0;0;0;0;0;0,1;46.086792967337402;5.686237124482900
1177;GRAND-CORENT;1;0;10;0;0;0;0;0;0;0,2;46.208106449470897;5.433984361463720
1179;GRIEGES;0;0;81;18;1;0;1;0;2;1,9;46.263591860304601;4.846594308537480
1180;GRILLY;1;0;9;0;0;0;0;1;0;0,7;46.331866374244797;6.113445982940660
1181;GROISSIAT;1;0;44;0;0;0;0;0;1;1,1;46.226614250504198;5.613022600880470
1182;GROSLEE;1;0;15;0;0;0;0;0;1;0,3;45.722183407972800;5.572499904861120
1183;GUEREINS;1;0;71;0;0;0;0;0;1;1,3;46.106688629041102;4.782457704631790
1184;HAUTECOURT-ROMANECHE;1;0;29;0;0;0;0;0;0;0,8;46.161441679597701;5.429946052569390
1185;HAUTEVILLE-LOMPNES;0;0;94;48;2;0;3;1;1;4,1;45.968765996478801;5.576218426023240
1186;HOSTIAZ;1;0;0;0;0;0;0;0;0;0,1;45.905314798437701;5.540573483902060
1187;HOTONNES;1;0;9;0;0;0;0;0;1;0,3;46.031826105384098;5.702485279981500
1188;ILLIAT;1;0;26;0;0;0;0;0;1;0,6;46.186385760727099;4.888430820103320
1189;INJOUX-GENISSIAT;1;0;31;0;0;0;0;0;1;1,1;46.049880509419701;5.759551745077220
1190;INNIMOND;1;0;0;0;0;0;0;0;0;0,1;45.791289793932897;5.574612139230080
1191;IZENAVE;1;0;6;0;0;0;0;0;0;0,2;46.037571932005399;5.524813809051280
1192;IZERNORE;1;0;115;0;0;0;1;0;1;2,3;46.218072626970503;5.563079574938680
1193;IZIEU;1;0;0;0;0;0;0;0;0;0,2;45.656033751608199;5.639407848063360
1194;JASSANS-RIOTTIER;0,155555556;7;237;45;1;0;2;1;2;6;45.978209598062897;4.759432532991820
1195;JASSERON;1;0;61;0;0;0;0;0;1;1,5;46.214902716359802;5.312336557955490
1196;JAYAT;1;0;51;0;0;0;0;0;0;1;46.365712340935801;5.114241486180340
1197;JOURNANS;1;0;14;0;0;0;0;0;1;0,3;46.146762430967797;5.334307109271350
1198;JOYEUX;1;0;10;0;0;0;0;0;0;0,2;45.950077129304098;5.102640880084250
1199;JUJURIEUX;1;0;86;0;0;0;1;0;2;2;46.049902356229303;5.410962132985160
1200;LABALME;1;0;13;0;0;0;0;0;1;0,2;46.093537007720897;5.493353727038400
1202;LAGNIEU;0,54;27;347;50;1;0;5;3;3;6,7;45.891859108209900;5.329513636457630
1203;LAIZ;1;0;38;0;0;0;0;0;1;1,1;46.246946112224599;4.898588425722190
1204;LALLEYRIAT;1;0;7;0;0;0;0;0;0;0,2;46.147659147224701;5.718740659719970
1205;LANCRANS;1;0;38;0;0;0;0;0;1;1;46.131631169987998;5.840620643073060
